time	 clk	 reset	 enable	 load 	 dataIn 	 out	
VCD info: dumpfile counter_8bit_vcd.vcd opened for output.
0	 1	 0	 1	 0	 11010101	 xxxxxxxx	
10	 0	 0	 1	 0	 11010101	 xxxxxxxx	
20	 1	 1	 1	 0	 11010101	 00000000	
30	 0	 1	 1	 0	 11010101	 00000000	
35	 0	 0	 1	 0	 11010101	 00000000	
40	 1	 0	 1	 0	 11010101	 00000000	
50	 0	 0	 0	 0	 11010101	 00000001	
60	 1	 0	 0	 0	 11010101	 00000001	
70	 0	 0	 0	 0	 11010101	 00000010	
80	 1	 0	 0	 0	 11010101	 00000010	
90	 0	 0	 0	 0	 11010101	 00000011	
100	 1	 0	 0	 0	 11010101	 00000011	
110	 0	 0	 0	 0	 11010101	 00000100	
120	 1	 0	 0	 0	 11010101	 00000100	
130	 0	 0	 0	 0	 11010101	 00000101	
140	 1	 0	 0	 0	 11010101	 00000101	
150	 0	 0	 0	 0	 11010101	 00000110	
160	 1	 0	 0	 0	 11010101	 00000110	
170	 0	 0	 0	 0	 11010101	 00000111	
180	 1	 0	 0	 0	 11010101	 00000111	
190	 0	 0	 0	 0	 11010101	 00001000	
200	 1	 0	 0	 0	 11010101	 00001000	
210	 0	 0	 0	 0	 11010101	 00001001	
220	 1	 0	 0	 0	 11010101	 00001001	
230	 0	 0	 0	 0	 11010101	 00001010	
240	 1	 0	 0	 0	 11010101	 00001010	
250	 0	 0	 0	 0	 11010101	 00001011	
260	 1	 0	 0	 0	 11010101	 00001011	
270	 0	 0	 0	 0	 11010101	 00001100	
280	 1	 0	 0	 0	 11010101	 00001100	
290	 0	 0	 0	 0	 11010101	 00001101	
300	 1	 0	 0	 0	 11010101	 00001101	
310	 0	 0	 0	 0	 11010101	 00001110	
320	 1	 0	 0	 0	 11010101	 00001110	
330	 0	 0	 0	 0	 11010101	 00001111	
340	 1	 0	 0	 0	 11010101	 00001111	
350	 0	 0	 0	 0	 11010101	 00010000	
360	 1	 0	 0	 0	 11010101	 00010000	
370	 0	 0	 0	 0	 11010101	 00010001	
380	 1	 0	 0	 0	 11010101	 00010001	
390	 0	 0	 0	 0	 11010101	 00010010	
400	 1	 0	 0	 0	 11010101	 00010010	
410	 0	 0	 0	 0	 11010101	 00010011	
420	 1	 0	 0	 0	 11010101	 00010011	
430	 0	 0	 0	 0	 11010101	 00010100	
440	 1	 0	 0	 0	 11010101	 00010100	
450	 0	 0	 0	 0	 11010101	 00010101	
460	 1	 0	 0	 0	 11010101	 00010101	
470	 0	 0	 0	 0	 11010101	 00010110	
480	 1	 0	 0	 0	 11010101	 00010110	
490	 0	 0	 0	 0	 11010101	 00010111	
500	 1	 0	 0	 0	 11010101	 00010111	
510	 0	 0	 0	 0	 11010101	 00011000	
520	 1	 0	 0	 0	 11010101	 00011000	
530	 0	 0	 0	 0	 11010101	 00011001	
540	 1	 0	 0	 0	 11010101	 00011001	
